Date,TXDATA.Positive,TXDATA.Recovered
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,5,0
2020-3-7,5,0
2020-3-8,5,0
2020-3-9,12,0
2020-3-10,15,0
2020-3-11,18,0
2020-3-12,22,0
2020-3-13,22,0
2020-3-14,22,0
2020-3-15,56,0
2020-3-16,56,0
2020-3-17,63,0
2020-3-18,82,0
2020-3-19,108,0
2020-3-20,175,0
2020-3-21,235,0
2020-3-22,263,0
2020-3-23,287,0
2020-3-24,712,0
2020-3-25,975,0
2020-3-26,1394,0
2020-3-27,1731,0
2020-3-28,2048,0
2020-3-29,2552,0
2020-3-30,2874,38
2020-3-31,3266,38
2020-4-1,3996,38
2020-4-2,4665,38
2020-4-3,5324,38
2020-4-4,6112,38
2020-4-5,6793,38
2020-4-6,7273,38
2020-4-7,8261,38
2020-4-8,9353,38
2020-4-9,10230,1101
2020-4-10,11671,1366
2020-4-11,12561,1617
2020-4-12,13484,2014
2020-4-13,13906,2269
2020-4-14,14624,2580
2020-4-15,15492,3150
2020-4-16,16455,3677
2020-4-17,17371,4190
2020-4-18,18260,4806
2020-4-19,18923,5334
2020-4-20,19458,5706
2020-4-21,20196,6486
2020-4-22,21069,7341
2020-4-23,21944,8025
2020-4-24,22806,9156
2020-4-25,23773,9986
2020-4-26,24631,10763
2020-4-27,25297,11170
2020-4-28,26171,11786
2020-4-29,27054,12507
2020-4-30,28087,13353
2020-5-1,29229,14122
2020-5-2,30522,14891
2020-5-3,31548,15544
2020-5-4,32332,16090
2020-5-5,33369,16791
2020-5-6,34422,17622
2020-5-7,35390,18440
2020-5-8,36609,19197
2020-5-9,37860,20141
2020-5-10,38869,21022
2020-5-11,39869,21713
2020-5-12,41048,22674
2020-5-13,42403,23519
2020-5-14,43851,24487
2020-5-15,45198,25454
2020-5-16,46999,26601
2020-5-17,47784,27570
2020-5-18,48693,28371
2020-5-19,49912,29359
2020-5-20,51323,30341
2020-5-21,52268,30341
2020-5-22,53449,31223
2020-5-23,54509,32277
2020-5-24,55348,33385
2020-5-25,55971,35292
2020-5-26,56560,36375
2020-5-27,57921,37626
2020-5-28,59776,38905
2020-5-29,61006,40068
2020-5-30,62338,40068
2020-5-31,64287,42423
2020-6-1,64880,43338
2020-6-2,66568,44517
2020-6-3,68271,45858
2020-6-4,69920,46799
2020-6-5,71613,47865
2020-6-6,73553,48895
2020-6-7,74978,49758
2020-6-8,75616,49758
2020-6-9,77253,51140
2020-6-10,79757,52449
2020-6-11,81583,54096
2020-6-12,83680,55258
2020-6-13,86011,56535
2020-6-14,87854,58341
2020-6-15,89108,59089
2020-6-16,93206,60681
2020-6-17,96335,62368
2020-6-18,99851,63812
2020-6-19,103305,65329
2020-6-20,107735,67096
2020-6-21,111601,68499
2020-6-22,114881,69190
2020-6-23,120370,70714
2020-6-24,125921,72898
2020-6-25,131917,74496
2020-6-26,137624,76282
2020-6-27,143366,78248
2020-6-28,148723,79974
2020-6-29,153011,81335
2020-6-30,159986,84818
2020-7-1,168062,87556
2020-7-2,175977,90720
2020-7-3,183532,93572
2020-7-4,191790,97430
2020-7-5,195239,100843
2020-7-6,200557,103782
2020-7-7,210585,108485
2020-7-8,220564,113284
2020-7-9,230346,118326
2020-7-10,240111,122996
2020-7-11,250462,127880
2020-7-12,258658,132638
2020-7-13,264313,136419
2020-7-14,271574,142398
2020-7-15,282365,149276
2020-7-16,292656,155937
2020-7-17,307572,162191
2020-7-18,317730,169581
2020-7-19,325030,172936
2020-7-20,332434,177871
2020-7-21,341739,186529
2020-7-22,351618,195315
2020-7-23,361125,203826
2020-7-24,369826,212216
2020-7-25,375846,221510
2020-7-26,381656,229107
2020-7-27,385923,229107
2020-7-28,394265,244449
2020-7-29,403307,251346
2020-7-30,412107,260542
2020-7-31,420946,273191
2020-8-1,430485,282604
2020-8-2,436711,282604
2020-8-3,442014,297422
2020-8-4,451181,306262
2020-8-5,459887,315652
2020-8-6,467485,323804
2020-8-7,474524,331668
2020-8-8,481483,338343
2020-8-9,486362,344845
2020-8-10,490817,349833
2020-8-11,500620,358312
2020-8-12,506820,367354
2020-8-13,513575,375760
2020-8-14,520593,383717
2020-8-15,528838,393266
2020-8-16,535042,399572
2020-8-17,542950,405817
2020-8-18,550232,415903
2020-8-19,557256,424685
2020-8-20,562559,431960
2020-8-21,567580,438825
2020-8-22,573139,446030
2020-8-23,577537,451776
2020-8-24,580384,457182
2020-8-25,586730,466550
2020-8-26,592137,472421
2020-8-27,597737,478752
2020-8-28,601768,484880
2020-8-29,606530,492921
2020-8-30,610354,499518
2020-8-31,612969,507499
2020-9-1,617333,514861
2020-9-2,621667,522087
2020-9-3,625347,527359
2020-9-4,630829,532223
2020-9-5,635315,538282
2020-9-6,638310,543412
2020-9-7,640370,543412
2020-9-8,641791,553409
2020-9-9,645791,558894
2020-9-10,649809,564114
2020-9-11,653356,568067
2020-9-12,657589,573670
2020-9-13,659434,577832
2020-9-14,663404,581204
2020-9-15,668746,585912
2020-9-16,674772,590837
2020-9-17,678819,594817
2020-9-18,682241,600662
2020-9-19,686068,605522
2020-9-20,688534,609210
2020-9-21,698387,611856
2020-9-22,716207,613896
2020-9-23,719599,618054
2020-9-24,723919,642169
2020-9-25,728552,646143
2020-9-26,733438,649580
2020-9-27,735132,652376
2020-9-28,739222,657407
2020-9-29,743284,661038
2020-9-30,748967,664883
2020-10-1,752501,668515
2020-10-2,756004,672144
2020-10-3,763010,677244
2020-10-4,765894,680083
2020-10-5,769303,683700
2020-10-6,773435,687277
2020-10-7,777556,692123
2020-10-8,781794,695194
2020-10-9,785830,698481
2020-10-10,790060,701583
2020-10-11,792478,703662
2020-10-12,795126,705189
2020-10-13,800256,708349
2020-10-14,805082,711438
2020-10-15,809808,716015
2020-10-16,815678,719478
2020-10-17,820563,723204
2020-10-18,823779,726231
2020-10-19,825673,729762
2020-10-20,833557,733758
2020-10-21,838809,739140
2020-10-22,845100,744283
2020-10-23,851572,748252
2020-10-24,858071,753611
2020-10-25,862375,755095
2020-10-26,867075,758192
2020-10-27,874367,763108
2020-10-28,879994,767905
2020-10-29,886820,772350
2020-10-30,893451,776580
2020-10-31,900596,782006
2020-11-1,972330,785282
2020-11-2,977785,787685
2020-11-3,988450,792286
2020-11-4,998267,797586
2020-11-5,1008438,802611
2020-11-6,1017677,807008
2020-11-7,1027237,811330
2020-11-8,1034115,820215
2020-11-9,1038964,820156
2020-11-10,1051899,826116
2020-11-11,1065065,831800
2020-11-12,1075654,838950
2020-11-13,1089078,850648
2020-11-14,1100479,861205
2020-11-15,1108402,871784
2020-11-16,1116230,875521
2020-11-17,1129874,883223
2020-11-18,1140861,889099
2020-11-19,1155130,896191
2020-11-20,1168925,901943
2020-11-21,1183847,909137
2020-11-22,1193616,913796
2020-11-23,1201257,917739
2020-11-24,1217837,927331
2020-11-25,1236648,935011
2020-11-26,1251345,943457
2020-11-27,1255332,946663
2020-11-28,1259657,950586
2020-11-29,1266707,954465
2020-11-30,1278432,962639
2020-12-1,1296972,976517
2020-12-2,1316194,993151
2020-12-3,1333746,1003141
2020-12-4,1350542,1012700
2020-12-5,1364933,1022297
2020-12-6,1375313,1030716
2020-12-7,1384804,1038806
2020-12-8,1404646,1050416
2020-12-9,1418252,1062398
2020-12-10,1433551,1074579
2020-12-11,1448002,1157334
2020-12-12,1464362,1167975
2020-12-13,1472711,1176377
2020-12-14,1481612,1185628
2020-12-15,1500538,1203398
2020-12-16,1519340,1216415
2020-12-17,1539189,1216415
2020-12-18,1555981,1245339
2020-12-19,1573888,1260984
2020-12-20,1581668,1269014
2020-12-21,1591948,1279067
2020-12-22,1613095,1297294
2020-12-23,1636458,1311851
2020-12-24,1653522,1326975
2020-12-25,1657857,1332913
2020-12-26,1660551,1339447
2020-12-27,1668597,1346963
2020-12-28,1683426,1357576
2020-12-29,1715978,1387358
2020-12-30,1737447,1402336
2020-12-31,1756172,1423001
2021-1-1,1772483,1435164
2021-1-2,1777246,1443061
2021-1-3,1793341,1451846
2021-1-4,1811523,1464746
2021-1-5,1843153,1488189
2021-1-6,1867163,1504643
2021-1-7,1891741,1522105
2021-1-8,1915261,1536690
2021-1-9,1938551,1549210
2021-1-10,1954406,1558945
2021-1-11,1969240,1568710
2021-1-12,1995292,1595600
2021-1-13,2022635,1612188
2021-1-14,2045699,1630778
2021-1-15,2072903,1649735
2021-1-16,2097560,1666745
2021-1-17,2113962,1677588
2021-1-18,2125552,1697272
2021-1-19,2135028,1711009
2021-1-20,2166283,1739136
2021-1-21,2188643,1763247
2021-1-22,2211289,1785578
2021-1-23,2228961,1797979
2021-1-24,2240526,1809067
2021-1-25,2246845,1818785
2021-1-26,2273119,1845210
2021-1-27,2292732,1867289
2021-1-28,2310952,1894564
2021-1-29,2330028,1912861
2021-1-30,2349262,1932694
2021-1-31,2360632,1947493
2021-2-1,2392443,1974572
2021-2-2,2415490,1993704
2021-2-3,2433110,2015866
2021-2-4,2448391,2037888
2021-2-5,2462886,2060478
2021-2-6,2476783,2080185
2021-2-7,2483742,2091113
2021-2-8,2491227,2104894
2021-2-9,2504556,2125302
2021-2-10,2517453,2168762
2021-2-11,2529343,2184719
2021-2-12,2541845,2204146
2021-2-13,2553127,2220233
2021-2-14,2560060,2231709
2021-2-15,2563949,2260840
2021-2-16,2567297,2257030
2021-2-17,2571063,2268067
2021-2-18,2574194,2279684
2021-2-19,2577131,2289773
2021-2-20,2583617,2312445
2021-2-21,2588101,2318193
2021-2-22,2594466,2331940
2021-2-23,2606275,2353741
2021-2-24,2613792,2368008
2021-2-25,2621181,2380295
2021-2-26,2629136,2393568
2021-2-27,2640209,2417585
2021-2-28,2644024,2422369
2021-3-1,2647845,2429453
2021-3-2,2655592,2441822
2021-3-3,2663414,2450229
2021-3-4,2671442,2458818
2021-3-5,2678295,2470308
2021-3-6,2683865,2491753
2021-3-7,2686818,2502609
